IMDB ID	budget	gross
0053604	3000000	18600000
0052587	135000	
0118661	60000000	23322832
0095250		80804
0118715	15000000	17439163
0037549		
0209958	33000000	61280963
0124315	24000000	57536361
0109506	15000000	50693162
0115986	13000000	17883659
0104036		62549000
0077416	15000000	50000000
0033532		
0080678	5000000	26010864
0083907	375000	2400000
0097322	13000000	16823529
0119116	90000000	63540020
0245120	5000000	6755271
0240510	35000000	18306166
0106977	40000000	183875760
0068646	6000000	134966411
0071562	13000000	57300000
0089218	19000000	61389680
0061722	3000000	
0120689	60000000	136801374
0099703		
0171363	80000000	91188905
0119314	60000000	75370763
0119349	18000000	7837632
0140352	90000000	28965197
0018037	422000	3000000
0104691	40000000	75505856
0165854	9000000	3193102
0119567	73000000	229074524
0011414		
0268995	72000000	27807266
0110475	18000000	119936108
0133093	63000000	171479930
0151137		14276317
0120616	80000000	155247825
0048424	795000	
0107688	18000000	143289
0142688	38000000	18653746
0019254		
0187393	110000000	113330342
0093779	16000000	24650738
0120004	40000000	33927476
0117500	70000000	134006721
0073629	1200000	139876417
0017350	430290	
0049730	3750000	
0050976	150000	
0111161	25000000	28341469
0081505	19000000	44017374
0102926	19000000	130742922
0167404	40000000	293501675
0120255		3252652
0088247	6400000	38371200
0025878	226408	
0084787	15000000	19629760
0054387	750000	
0268695	80000000	56684819
0092106		5706456
0084855	16000000	54000000
0046534	2000000	
0032138	2777000	22202612
0120902	66000000	83892374
0103074	16500000	45361000
0146309	80000000	34566746
0120188	48000000	60652036
0066434	777000	2437000
0120338	200000000	658672302
0143145	135000000	126930660
0100791		
0120347	110000000	125332007
0092099	15000000	179767866
0100802	65000000	8038759
0114709	30000000	30144903
0181865	48000000	124107476
0084827	17000000	26918576
0111503	115000000	146261000
0105665	10000000	4160851
0120399	19000000	6633400
0217869	75000000	94999143
0105695	14400000	74681912
0052357	2479000	15000000
0124198	10000000	9801782
0055601		
0094291	15000000	40978333
0096426		
0161081	100000000	155464351
0207201	70000000	182805123
0118158	38000000	10300000
0096438	70000000	154222492
0096446	35000000	57269863
0094336		
0090329	12000000	65500000
0120903	75000000	157299717
0128853	65000000	115731542
0072431	2800000	86300000
0080180		
