,IMDB ID,Rotten Tomatoes ID,Title,Action & Adventure,Animation,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Television,Western,Critics Score,Audience Score,Audience Rating,Critics Rating,runtime,year,mpaa_rating,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,Budget,Gross,IMDB ID.1,Oscar Wins,Oscar Nominations,number,num_missing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,length
211,0090756,16022,Blue Velvet,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,92,89,Upright,Fresh,121.0,1986,R,Kyle MacLachlan,Jeffrey Beaumont,Isabella Rossellini,Dorothy Vallens,Dennis Hopper,Frank Booth,Laura Dern,Sandy Williams,Hope Lange,Mrs. Williams,6000000.0,7200346.0,90756,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950395926240297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663.0
358,0098382,12182,Star Trek V - The Final Frontier,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,25,Spilled,Rotten,106.0,1989,PG,William Shatner,James T. Kirk,Leonard Nimoy,Mr. Spock,DeForest Kelley,"Leonard ""Bones"" McCoy",George Takei,Hikaru Sulu,Walter Koenig,Pavel Chekov,27800000.0,52210049.0,98382,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012856847558257995,0.0,0.0,0.0,0.0,0.0,0.0,0.11375610555118605,0.0,0.05878618580998872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1977761102757434,0.0,0.0,0.0,0.0,0.5511329332755978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043156217995615045,0.0,0.0,0.0,2995.0
209,0096933,167956643,Black Rain,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,52,53,Spilled,Rotten,125.0,1989,R,Michael Douglas,Nick Conklin,Andy Garcia,Charlie Vincent,Ken Takakura,Mashahiro Matsumoto,Kate Capshaw,Joyce Kingsley,Yusaku Matsuda,Sato,30000000.0,45645204.0,96933,0,2,,1,0.0,0.0,0.0,0.9951550275398701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.0
208,0118715,14281,The Big Lebowski,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,94,Upright,Certified Fresh,118.0,1998,R,Jeff Bridges,The Dude,John Goodman,Walter Sobchak,Julianne Moore,Maude Lebowski,Steve Buscemi,Donny,David Huddleston,The Big Lebowski,15000000.0,17439163.0,118715,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2894020417778885,0.0,0.0,0.0,0.0,0.0,0.3523285453330424,0.09449856242625458,0.22785752433847534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020345243613890188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.0
207,0118689,12533,Bean,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,53,Spilled,Rotten,92.0,1997,PG-13,Rowan Atkinson,Mr. Bean,Peter MacNicol,David Langley,Pamela Reed,Alison Langley,Harris Yulin,George Grierson,Burt Reynolds,Gen. Newton,22000000.0,45298656.0,118689,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291227667920627,0.0,0.0,0.0,0.0,0.02677172386202749,0.0,0.04280842892753011,0.02469564390089042,0.0,0.0,0.0,0.0,0.0,0.0,0.3202154213485359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04706345687655784,0.0,0.0,0.0,3956.0
359,0102975,12300,Star Trek VI - The Undiscovered Country,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,83,83,Upright,Certified Fresh,109.0,1991,PG,William Shatner,James T. Kirk,Leonard Nimoy,Mr. Spock,DeForest Kelley,"Leonard ""Bones"" McCoy",Kim Cattrall,Lt. Valeris,David Warner,Chancellor Gorkon,30000000.0,74888996.0,102975,0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17111648865566925,0.01007389827187836,0.0,0.0,0.0,0.0,0.0,0.0,0.062437497591105874,0.01574326020086186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18360160116801202,0.0,0.0,0.0,0.013126344794889952,0.5165974885531066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01997659557761391,0.0,0.0,0.0,2548.0
221,0094812,16517,Bull Durham,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,97,83,Upright,Certified Fresh,107.0,1988,R,Kevin Costner,Crash Davis,Susan Sarandon,Annie Savoy,Tim Robbins,"Ebby Calvin ""Nuke"" LaLoosh",Trey Wilson,"Joe ""Skip"" Riggins",Robert Wuhl,Larry Hockett,7000000.0,50888729.0,94812,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998668386843286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.0
360,0111280,11936,Star Trek Generations,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,47,58,Spilled,Rotten,117.0,1994,PG,Patrick Stewart,Capt. Jean-Luc Picard,William Shatner,James T. Kirk,Malcolm McDowell,Dr. Tolian Soran,Jonathan Frakes,Cmdr. William Riker,Brent Spiner,Lt. Cmdr. Data,35000000.0,75668868.0,111280,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05071750972570044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021421912537111,0.0,0.0,0.0,0.0,0.7078968066505663,0.0,0.0,0.019073300387787075,0.0,0.0,0.0,0.011252786941992145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127.0
222,0056923,17945,Charade,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,92,93,Upright,Fresh,115.0,1963,G,Cary Grant,Peter Joshua/Alexander Dyle/Adam Canfield/Brian Cruik,Audrey Hepburn,Regina Lampert,Walter Matthau,Hamilton Bartholomew,James Coburn,Tex Penthollow,George Kennedy,Herman Scobie,4000000.0,13474588.0,56923,0,1,,1,0.0,0.0,0.0,0.0,0.0417094060823479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35531351281914825,0.0,0.0,0.0,0.0,0.0,0.0,0.03140000143644474,0.02827971325041291,0.0,0.0,0.0,0.0,0.0,0.0,0.5272358195048655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3265.0
225,0033467,10074,Citizen Kane,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,100,91,Upright,Certified Fresh,119.0,1941,PG,Orson Welles,Charles Foster Kane,Joseph Cotten,Jedediah Leland,Everett Sloane,Mr. Bernstein,Dorothy Comingore,Susan Alexander,Ray Collins,Boss Jim Gettys,686033.0,1140769.0,33467,1,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831896790356375,0.0,0.0,0.0,0.0164410741409022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4897.0
