IMDB ID	Oscar Wins	Nominations
0163187	0	0	
0128445	0	0	
0047443	0	0	
0120815	5	6	
0098258	0	0	
0017350	0	0	
0108052	7	5	
0117571	0	0	
0120082	0	0	
0134084	0	0	
0049730	0	0	
0114369	0	1	
0138097	7	6	
0111149	0	0	
0083067	0	0	
0102926	5	2	
0105417	0	0	
0167404	0	6	
0108160	0	2	
0114478	0	0	
0094008	0	0	
0069303	0	4	
0120174	0	0	
0120188	0	0	
0092005	0	1	
0098382	0	0	
0102975	0	2	
0111280	0	0	
0120844	0	0	
0076759	0	0	
0120201	0	1	
0120202	0	0	
0111300	0	0	
0120238	0	0	
0088206	0	0	
0081573	0	0	
0086393	0	0	
0094074	0	0	
0078346	1	3	
0088247	0	0	
0103064	4	2	
0103074	1	5	
0084787	0	0	
0066434	0	0	
0120338	11	3	
0120347	0	0	
0100802	1	2	
0084827	0	2	
0111503	0	1	
0114746	0	2	
0105665	0	0	
0084855	0	5	
0124198	0	0	
0055601	0	0	
0046534	1	2	
0096426	0	0	
0161081	0	0	
0207201	0	0	
0118158	0	0	
0096438	0	0	
0096446	0	2	
0090329	2	6	
0032138	2	4	
0143145	0	0	
0120903	0	0	
0072431	0	2	
0128853	0	0	
0080180	0	0	
