IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0025878	18690	"The Thin Man"	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	97	94	Upright	Fresh	93	1934	"Unrated"	William Powell	Nick Charles	Myrna Loy	Nora Charles	Maureen O'Sullivan	Dorothy Wynant	Nat Pendleton	Lt. John Guild	Minna Gombell	Mimi Wynant	226408		0	4	
0161081	10686	"What Lies Beneath"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	46	59	Spilled	Rotten	130	2000	"PG-13"	Harrison Ford	Norman Spencer	Michelle Pfeiffer	Claire Spencer	Diana Scarwid	Jody	Miranda Otto	Mary Feur	James Remar	Warren Feur	100000000	155464351	0	0	
0239860	770939940	"Quantum Project"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	100			32	2000	"Unrated"	John Cleese	Alexander Pentcho	Stephen Dorff	Paul Pentcho	Fay Masterson	Mia	Wendy Worthington	Arlette			3000000		0	0	
0061418	13095	"Bonnie and Clyde"	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	90	88	Upright	Certified Fresh	111	1967	"R"	Holliday Grainger	Bonnie Parker	Emile Hirsch	Clyde Barrow	Warren Beatty	Clyde Barrow	Gene Hackman	Buck Barrow	Faye Dunaway	Bonnie Parker	2500000	50700000	2	8	
0090329	14194	"Witness"	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	91	80	Upright	Fresh	112	1985	"R"	Harrison Ford	John Book	Kelly McGillis	Rachel	Josef Sommer	Paul Schaeffer	Lukas Haas	Samuel	Jan Rubes	Eli Lapp	12000000	65500000	2	6	
0119229	12957	"Grosse Pointe Blank"	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	79	88	Upright	Certified Fresh	108	1997	"R"	John Cusack	Martin Blank	Minnie Driver	Debi Newberry	Dan Aykroyd	Mr. Grocer	Alan Arkin	Dr. Oatman	Joan Cusack	Marcella	15000000	28014536	0	0	
0116367	12984	"From Dusk Till Dawn"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	64	77	Upright	Fresh	107	1996	"R"	George Clooney	Seth Gecko	Harvey Keitel	Jacob Fuller	Quentin Tarantino	Richard Gecko	Juliette Lewis	Kate Fuller	Cheech Marin	Border Guard	18000000	25753840	0	0	
0062622	9917	"2001: A Space Odyssey"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	97	89	Upright	Certified Fresh	139	1968	"G"	Keir Dullea	Bowman	Gary Lockwood	Poole	William Sylvester	Dr. Heywood Floyd	Daniel Richter	Moonwatcher the Man-Ape	Douglas Rain	HAL 9000	10500000		1	3	
0114369	22538	"Seven (Se7en)"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	84	95	Upright	Certified Fresh	130	1995	"R"	Brad Pitt	David Mills	Morgan Freeman	William Somerset	Gwyneth Paltrow	Tracy Mills	Kevin Spacey	John Doe	R. Lee Ermey	Police Captain	33000000	100125000	0	1	
0120844	11889	"Star Trek - Insurrection"	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	55	45	Spilled	Rotten	102	1998	"PG"	Patrick Stewart	Captain Jean-Luc Picard	Jonathan Frakes	Cmdr. William Riker	Brent Spiner	Lieutenant Commander Data	LeVar Burton	Lt. Cmdr. Geordi LaForge	Michael Dorn	Lt. Cmdr. Worf	58000000	70117571	0	0	
0118571	16823	"Air Force One"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	79	65	Upright	Certified Fresh	124	1997	"R"	Harrison Ford	President James Marshall	Gary Oldman	Ivan Korshunov	Glenn Close	Vice President Kathryn Bennett	Wendy Crewson	Grace Marshall	Paul Guilfoyle	Chief of Staff Lloyd Shepherd	85000000	172650002	0	2	
0094291	12905	"Wall Street"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	78	82	Upright	Certified Fresh	126	1987	"R"	Michael Douglas	Gordon Gekko	Charlie Sheen	Bud Fox	Daryl Hannah	Darien Taylor	Martin Sheen	Carl Fox	Terence Stamp	Sir Larry Wildman	15000000	40978333	1	0	
0054240	17554	"Orgy of the Dead"	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	Spilled	Rotten	90	1965	"Unrated"	Pat Barringer	Shirley/Gold	Criswell	The Emperor	Fawn Silver	Black Ghoul	William Bonner	Second Doctor	Colleen O'Brien	The Street Walker			0	0	
0113161	13680	"Get Shorty"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	86	70	Upright	Certified Fresh	105	1995	"R"	John Travolta	Chili Palmer	Gene Hackman	Harry Zimm	Rene Russo	Karen Flores	Danny DeVito	Martin Weir	Dennis Farina	Ray "Bones" Barboni	30250000	72077000	0	0	
0119675	15120	"Mimic"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	61	36	Spilled	Fresh	112	1997	"R"	Mira Sorvino	Susan Tyler	Jeremy Northam	Peter Mann	Josh Brolin	Josh	Giancarlo Giannini	Manny	Charles S. Dutton	Leonard	25000000	25454187	0	0	
0108160	12631	"Sleepless in Seattle"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	71	75	Upright	Fresh	105	1993	"PG"	Tom Hanks	Sam Baldwin	Meg Ryan	Annie Reed	Bill Pullman	Walter	Ross Malinger	Jonah Baldwin	Rosie O'Donnell	Becky	21000000	126533006	0	2	
0213149	16950	"Pearl Harbor"	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	25	68	Upright	Rotten	99	2001	"PG-13"	Ben Affleck	Rafe McCawley	Josh Hartnett	Danny Walker	Kate Beckinsale	Evelyn Johnson	Cuba Gooding Jr.	Doris "Dorie" Miller	Tom Sizemore	Earl	140000000	198539855	1	3	
0307479	12751	"Solaris"	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	66	59	Spilled	Fresh	120	2002	"PG-13"	George Clooney	Dr. Chris Kelvin	Natascha McElhone	Rheya	Jeremy Davies	Snow	Viola Davis	Dr. Helen Gordon	Ulrich Tukur	Gibarian	47000000	14970038	0	0	
0116225	14018	"Escape from L.A."	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	53	40	Spilled	Rotten	100	1996	"R"	Kurt Russell	Snake Plissken	Stacy Keach	Malloy	Steve Buscemi	Map to the Stars Eddie	Peter Fonda	Pipeline	Cliff Robertson	President	50000000	25477365	0	0	
0104797	10624	"Malcolm X"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	91	92	Upright	Certified Fresh	201	1992	"PG-13"	Denzel Washington	Malcolm X	Spike Lee	Shorty	Angela Bassett	Betty Shabazz	Al Freeman Jr.	Elijah Muhammad	Delroy Lindo	West Indian Archie	33000000	48140491	0	2	
0080180	10089	"Zulu Dawn"	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	57	64	Upright	Rotten	117	1979	"PG"	Burt Lancaster	Col. Anthony Durnford	Peter O'Toole	Lord Chelmsford	Simon Ward	William Vereker	John Mills	Sir Henry Bartle Frere	Nigel Davenport	Col. Hamilton-Brown			0	0	
0167099	770735041	"Curse, The"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	100	Upright		""	1999	"R"	Mike Dooly		Holter Graham		Matthew Arkin		Ken Garito		Amy Laughlin				0	0	
0119314	10133	"The Horse Whisperer"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	73	73	Upright	Fresh	168	1998	"PG-13"	Robert Redford	Tom Booker	Kristin Scott Thomas	Annie MacLean	Sam Neill	Robert McLean	Dianne Wiest	Diane Booker	Scarlett Johansson	Grace MacLean	60000000	75370763	0	1	
0069945	9528	"Dark Star"	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	79	68	Upright	Fresh	83	1974	"G"	Brian Narelle	Doolittle	Andreijah Pahich	Talby	Carl Duniholm		Dan O'Bannon	Pinback	Miles Watkins	Mission Control	60000		0	0	
0111161	12989	"The Shawshank Redemption"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	90	99	Upright	Certified Fresh	142	1994	"R"	Tim Robbins	Andy Dufresne	Morgan Freeman	Ellis Boy "Red" Redding	Bob Gunton	Warden Samuel Norton	Bill Sadler	Heywood	Clancy Brown	Capt. Byron Hadley	25000000	28341469	0	7	
0119094	13172	"Face/Off"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	83	Upright	Certified Fresh	138	1997	"R"	John Travolta	Sean Archer	Nicolas Cage	Castor Troy	Joan Allen	Eve Archer	Alessandro Nivola	Pollux Troy	Gina Gershon	Sasha Hassler	80000000	112225777	0	1	
0075148	11405	"Rocky"	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	92	68	Upright	Certified Fresh	125	1976	"PG"	Mithun Chakraborty		Sylvester Stallone	Rocky Balboa	Talia Shire	Adrian	Burt Young	Paulie	Carl Weathers	Apollo Creed	1100000	117235247	3	7	
0112346	10129	"The American President"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	90	78	Upright	Certified Fresh	113	1995	"PG-13"	Michael Douglas	President Andrew Shepherd	Annette Bening	Sydney Ellen Wade	Martin Sheen	A.J. MacInerney	Michael J. Fox	Lewis Rothschild	David Paymer	Leon Kodak	62000000	65000000	0	1	
0087332	12000	"Ghostbusters"	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	96	87	Upright	Certified Fresh	105	1984	"PG"	Bill Murray	Peter Venkman	Dan Aykroyd	Raymond Stantz	Sigourney Weaver	Dana Barrett	Harold Ramis	Egon Spengler	Ernie Hudson	Winston Zeddmore	32000000	238632124	0	2	
0065724	13551	"Five Easy Pieces"	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	86	85	Upright	Fresh	98	1970	"R"	Jack Nicholson	Robert Eroica Dupea	Karen Black	Rayette Dipesto	Lois Smith	Partita Dupea	Susan Anspach	Catherine Van Ost	Billy Green Bush	Elton	1600000	18099091	0	4	
0097289	284501761	"Erik The Viking"	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	47	59	Spilled	Rotten	104	1989	"PG-13"	Tim Robbins	Erik	Gary Cady	Keitel Blacksmith	Mickey Rooney	Erik's Grandfather	Eartha Kitt	Freya	Terry Jones	King Arnulf			0	0	
0099871	13210	"Jacob's Ladder"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	70	86	Upright	Fresh	116	1990	"R"	Tim Robbins	Jacob Singer	Elizabeth Pena	Jezzie	Danny Aiello	Louis	Matt Craven	Michael	Pruitt Taylor Vince	Paul	25000000	26118851	0	0	
0122690	13378	"Ronin"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	68	80	Upright	Fresh	118	1998	"R"	Robert De Niro	Sam	Jean Reno	Vincent	Natascha McElhone	Deirdre	Stellan Skarsgard	Gregor	Sean Bean	Spence	55000000	41609593	0	0	
0083907	16969	"The Evil Dead"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	98	84	Upright	Fresh	85	1981	"R"	Bruce Campbell	Ashley "Ash" J. Williams	Ellen Sandweiss	Cheryl	Betsy Baker	Linda	Hal Delrich	Scott	Sarah York	Shelly	375000	2400000	0	0	
0115986	16817	"The Crow: City of Angels"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	42	Spilled	Rotten	84	1996	"R"	Vincent Perez	Ashe Corven	Mia Kirshner	Sarah	Richard Brooks (VI)	Judah	Iggy Pop	Curve	Thomas Jane		13000000	17883659	0	0	
0102975	12300	"Star Trek VI - The Undiscovered Country"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	83	83	Upright	Certified Fresh	109	1991	"PG"	William Shatner	James T. Kirk	Leonard Nimoy	Mr. Spock	DeForest Kelley	Leonard "Bones" McCoy	Kim Cattrall	Lt. Valeris	David Warner	Chancellor Gorkon	30000000	74888996	0	2	
0071562	12926	"The Godfather, Part II"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	98	97	Upright	Certified Fresh	200	1974	"R"	Al Pacino	Michael Corleone	Robert Duvall	Tom Hagen	Diane Keaton	Kay Adams	Robert De Niro	Vito Corleone	John Cazale	Fredo Corleone	13000000	57300000	6	5	
0120834	11251	"Snow Falling on Cedars"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	40	68	Upright	Rotten	127	1999	"PG-13"	Ethan Hawke	Ishmael Chambers	James Cromwell	Judge Fielding	Richard Jenkins	Sheriff Art Moran	James Rebhorn	Alvin Hooks	Sam Shepard	Arthur Chambers	36000000	14378353	0	1	
0119173	13393	"G.I. Jane"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	55	53	Spilled	Rotten	124	1997	"R"	Demi Moore	Lt. Jordan O'Neil	Viggo Mortensen	Master Chief John Urgayle	Anne Bancroft	Sen. Lillian DeHaven	Jason Beghe	Royce	Scott Wilson	C.O. Salem	50000000	48154732	0	0	
0097737	14600	"Leviathan"	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	11	25	Spilled	Rotten	98	1989	"R"	Peter Weller	Steven Beck	Richard Crenna	Doc. Glen Thompson	Amanda Pays	Elizabeth 'Willie' Williams	Daniel Stern	Buzz 'Sixpack' Parrish	Ernie Hudson	Justin Jones			0	0	
0119488	12956	"L.A. Confidential"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	99	94	Upright	Certified Fresh	138	1997	"R"	Kevin Spacey	Jack Vincennes	Russell Crowe	Bud White	Guy Pearce	Ed Exley	James Cromwell	Dudley Smith	Kim Basinger	Lynn Bracken	35000000	64604977	2	7	
0085750	10714	"Jaws 3"	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	11	18	Spilled	Rotten	99	1983	"PG"	Dennis Quaid	Mike Brody	Bess Armstrong	Kathryn Morgan	Simon MacCorkindale	Philip FitzRoyce	Louis Gossett Jr	Calvin	John Putch	Sean Brody	20500000	42245180	0	0	
0048545	11006	"Rebel Without a Cause"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	95	88	Upright	Certified Fresh	111	1955	"PG-13"	James Dean	Jim Stark	Natalie Wood	Judy	Corey Allen	Buzz Gunderson	Sal Mineo	Plato	Dennis Hopper	Goon	1500000		0	3	
0288477	14383	"Ghost Ship"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	38	Spilled	Rotten	91	2002	"R"	Julianna Margulies	Maureen Epps	Ron Eldard	Dodge	Desmond Harrington	Jack Ferriman	Isaiah Washington	Greer	Gabriel Byrne	Murphy	35000000	30079316	0	0	
0082010	16412	"An American Werewolf in London"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	91	85	Upright	Certified Fresh	97	1981	"R"	David Naughton	David Kessler	Jenny Agutter	Alex Price	Griffin Dunne	Jack Goodman	John Woodvine	Dr. Hirsch	Brian Glover	Chess player	10000000	20445527	1	0	
0083972	14236	"Friday the 13th Part 3"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	13	44	Spilled	Rotten	95	1982	"R"	Dana Kimmell	Chris	Richard Brooker	Jason	Catherine Parks	Vera	Paul Kratka	Rick	Jeffrey Rogers	Andy	4000000	33312481	0	0	
0073692	13923	"Shampoo"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	63	52	Spilled	Fresh	110	1975	"R"	Warren Beatty	George	Julie Christie	Jackie	Goldie Hawn	Jill	Lee Grant	Felicia	Jack Warden	Lester			1	3	
0094631	13994	"Alien Nation"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	56	44	Spilled	Rotten	90	1988	"R"	James Caan	Detective Matthew Sykes	Mandy Patinkin	Detective Sam Francisco "George"	Terence Stamp	William Harcort	Kevin Howard	Kipling	Leslie Bevis	Cassandra	16000000	25216243	0	0	
0114746	770769878	"Prem No Public Issue"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	100	Upright		""	1995	"Unrated"	Bhiravi Vaidhy		Dilip Satgare		Haresh Mehta		Harish Panchal		Kamlesh Shah		29000000	56882000	0	2	
0185431	11218	"Little Nicky"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22	58	Spilled	Rotten	84	2000	"PG-13"	Adam Sandler	Little Nicky	Patricia Arquette	Valerie	Harvey Keitel	Dad	Rhys Ifans	Adrian	Tommy 'Tiny' Lister	Cassius	80000000	39442871	0	0	
0092106	10553	"The Transformers - The Movie"	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	50	88	Upright	Rotten	84	1986	"PG"	Eric Idle		Gregg Berger		Jack Angel		Judd Nelson		Leonard Nimoy			5706456	0	0	
0110027	770778434	"Highlander"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	40	Spilled		""	1995	"Unrated"	Ben Campbell		Don Dickinson		Hrant Alianak		Katie Zegers		Lawrence Bayne		26000000	13994773	0	0	
0091080	14523	"Friday the 13th, Part VI - Jason Lives"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	54	50	Spilled	Rotten	87	1986	"R"	Jennifer C. Cooke	Megan	David Kagen	Sheriff Garris	Rene Jones	Sissy	Darcy de Moss	Nikki	Kerry Noonan	Paula	3000000	18964359	0	0	
0097216	13900	"Do the Right Thing"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	96	90	Upright	Certified Fresh	120	1989	"R"	Danny Aiello	Sal	Spike Lee	Mookie	Richard Edson	Vito	John Turturro	Pino	Giancarlo Esposito	Buggin Out	6500000	27545445	0	2	
0118617	9895	"Anastasia"	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	86	77	Upright	Certified Fresh	50	1997	"G"	Meg Ryan	Anastasia	John Cusack	Dimitri	Kelsey Grammer	Vladimir	Christopher Lloyd	Rasputin	Hank Azaria	Bartok	53000000	58297830	0	2	
0215545	16735	"Bamboozled"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	48	75	Upright	Rotten	135	2000	"R"	Damon Wayans	Pierre Delacroix	Savion Glover	Manray/Mantan	Jada Pinkett Smith	Sloan Hopkins	Tommy Davidson	Womack/Sleep 'N Eat	Michael Rapaport	Dunwitty	10000000	2185266	0	0	
0120655	13107	"Dogma"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	67	86	Upright	Fresh	128	1999	"R"	Ben Affleck	Bartleby	George Carlin	Cardinal Glick	Matt Damon	Loki	Linda Fiorentino	Bethany	Salma Hayek	Serendipity	10000000	30651422	0	0	
0209144	13052	"Memento"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	92	94	Upright	Certified Fresh	116	2000	"R"	Guy Pearce	Leonard	Carrie-Anne Moss	Natalie	Joe Pantoliano	Teddy	Stephen Tobolowsky	Sammy	Mark Boone Jr.	Burt	9000000	25544867	0	2	
0081573	10656	"Superman II"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	89	75	Upright	Certified Fresh	127	1981	"PG"	Christopher Reeve	Clark Kent/Superman	Gene Hackman	Lex Luthor	Margot Kidder	Lois Lane	Ned Beatty	Otis	Jackie Cooper	Dino/Perry White	54000000	101347629	0	0	
0112641	13456	"Casino"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	80	93	Upright	Certified Fresh	182	1995	"R"	Robert De Niro	Sam (Ace) Rothstein	Sharon Stone	Ginger McKenna	Joe Pesci	Nicky Santoro	James Woods	Lester Diamond	Don Rickles	Billy Sherbert	52000000	42438300	0	1	
0118689	12533	"Bean"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42	53	Spilled	Rotten	92	1997	"PG-13"	Rowan Atkinson	Mr. Bean	Peter MacNicol	David Langley	Pamela Reed	Alison Langley	Harris Yulin	George Grierson	Burt Reynolds	Gen. Newton	22000000	45298656	0	0	
0093779	12686	"The Princess Bride"	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	97	95	Upright	Certified Fresh	98	1987	"PG"	Cary Elwes	Westley	Robin Wright	Buttercup the Princess Bride	Mandy Patinkin	Inigo Montoya	Chris Sarandon	Prince Humperdinck	Christopher Guest	Count Rugen	16000000	24650738	0	1	
0093773	16751	"Predator"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	78	87	Upright	Certified Fresh	107	1987	"R"	Arnold Schwarzenegger	Maj. Alan "Dutch" Schaefer	Carl Weathers	Dillon	Elpidia Carrillo	Anna	Bill Duke	Mac	Jesse Ventura	Sgt. Blain	15000000	56471713	0	1	
0120082	16559	"Scream 2"	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	81	55	Spilled	Certified Fresh	120	1997	"R"	David Arquette	Dewey Riley	Neve Campbell	Sidney Prescott	Courteney Cox	Gale Weathers	Sarah Michelle Gellar	Cici Cooper	Jamie Kennedy	Randy Meeks	23000000	101334374	0	0	
0099703	16215	"The Grifters"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	90	71	Upright	Certified Fresh	114	1990	"R"	John Cusack	Roy Dillon	Anjelica Huston	Lilly Dillon	Annette Bening	Myra Langtry	Pat Hingle	Bobo Justus	J.T. Walsh	Cole			0	4	
0102753	14920	"Rambling Rose"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	100	49	Spilled	Fresh	115	1991	"R"	Laura Dern	Rose	Robert Duvall	Daddy Hillyer	Diane Ladd	Mother Hillyer	Lukas Haas	Willcox "Buddy" Hillyer	John Heard	Willcox Hillyer	7500000	6266621	0	2	
0083067	136194283	"Shock Treatment"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	40	62	Upright	Rotten	94	1981	"PG"	Cliff De Young	Brad Majors/Farley Flavors	Richard O'Brien	Cosmo McKinley	Patricia Quinn	Nation McKinley	Charles Gray	Judge Oliver Wright	Ruby Wax	Betty Hapschatt	3500000		0	0	
0082971	23529	"Raiders of the Lost Ark"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	96	Upright	Certified Fresh	115	1981	"PG"	Harrison Ford	Indiana Jones	Karen Allen	Marion Ravenwood	Denholm Elliott	Marcus Brody	Paul Freeman	Belloq	Wolf Kahler	Dietrich	18000000	3115115	0	0	
0088247	16340	"The Terminator"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	100	88	Upright	Certified Fresh	108	1984	"R"	Arnold Schwarzenegger	Terminator	Michael Biehn	Kyle Reese	Linda Hamilton	Sarah Connor	Paul Winfield	Traxler	Lance Henriksen	Vukovich	6400000	38371200	0	0	
0120157	13402	"Soldier"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	43	Spilled	Rotten	95	1998	"R"	Kurt Russell	Todd	Jason Scott Lee	Caine 607	Connie Nielsen	Sandra	Sean Pertwee	Mace	Michael Chiklis	Jimmy Page	75000000	14567883	0	0	
0115736	13080	"Bound"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	92	82	Upright	Fresh	107	1996	"R"	Jennifer Tilly	Violet	Gina Gershon	Corky	Joe Pantoliano	Caesar	Barry Kivel	Shelly	Christopher Meloni	Johnnie Marconi	4500000	3798532	0	0	
0057012	12368	"Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb"	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	100	94	Upright	Certified Fresh	95	1964	"PG"	Peter Sellers	Dr. Strangelove	George C. Scott	Gen. Buck Turgidson	Sterling Hayden	Gen. Jack D. Ripper	Keenan Wynn	Col. Bat Guano	Slim Pickens	Maj. T.J. "King" Kong	1800000	9440272	0	4	
0163579	15886	"Chill Factor"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	31	Spilled	Rotten	102	1999	"R"	Cuba Gooding Jr.	Arlo	Skeet Ulrich	Tim Mason	Peter Firth	Maj. Andrew Brynner	David Paymer	Dr. Richard Long	Hudson Leick	Vaughn	70000000	11227940	0	0	
0092699	13349	"Broadcast News"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	98	79	Upright	Certified Fresh	132	1987	"R"	William Hurt	Tom Grunick	Albert Brooks	Aaron Altman	Holly Hunter	Jane Craig	Robert Prosky	Ernie Merriman	Lois Chiles	Jennifer Mack	20000000	51249404	0	7	
0120399	13671	"U Turn"	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	59	63	Upright	Rotten	121	1997	"R"	Sean Penn	Bobby Cooper	Nick Nolte	Jake McKenna	Jennifer Lopez	Grace McKenna	Powers Boothe	Sheriff Potter	Claire Danes	Jenny	19000000	6633400	0	0	
0043014	17003	"Sunset Boulevard"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	98	95	Upright	Certified Fresh	110	1950	"Unrated"	William Holden	Joe Gillis	Gloria Swanson	Norma Desmond	Erich von Stroheim	Max Von Mayerling	Nancy Olson	Betty Schaefer	Fred Clark	Sheldrake	1752000		3	8	
0093177	16456	"Hellraiser"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	63	74	Upright	Fresh	94	1987	"R"	Andrew Robinson	Larry Cotton	Clare Higgins	Julia Cotton	Ashley Laurence	Kirsty Cotton	Sean Chapman	Frank Cotton	Oliver Smith	Frank the Monster	1000000	13928408	0	0	
0217869	10289	"Unbreakable"	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	68	77	Upright	Fresh	107	2000	"PG-13"	Bruce Willis	David Dunne	Samuel L. Jackson	Elijah Prince	Robin Wright	Audrey Dunne	Charlayne Woodard	Elijah's Mother	Spencer Treat Clark	Joseph Dunn	75000000	94999143	0	0	
0129387	147455754	"Something More"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	50	Spilled		98	1999	"R"	Michael A. Goorjian	Sam	Chandra West	Kelly	David Lovgren	Jim	Thomas Cavanaugh	Harry	Jennifer Beals	Lisa	23000000	176483808	0	0	
0119280	10621	"Mrs. Brown"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	94	78	Upright	Certified Fresh	103	1997	"PG"	Judi Dench	Queen Victoria	Billy Connolly	John Brown	Geoffrey Palmer	Henry Ponsonby	Antony Sher	Disraeli	David Westhead	Prince of Wales			0	2	
0186151	10754	"Frequency"	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	70	81	Upright	Certified Fresh	121	2000	"PG-13"	Dennis Quaid	Frank Sullivan	Jim Caviezel	John Sullivan	Andre Braugher	Satch DeLeon	Elizabeth Mitchell	Julia Sullivan	Noah Emmerich	Gordon Hersch	31000000	44983704	0	0	
0106977	12168	"The Fugitive"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	96	88	Upright	Certified Fresh	130	1993	"PG-13"	Harrison Ford	Dr. Richard Kimble	Tommy Lee Jones	Deputy US Marshal Samuel Gerard	Sela Ward	Helen Kimble	Joe Pantoliano	Cosmo Renfro	Jeroen Krabbe	Dr. Charles Nichols	40000000	183875760	1	6	
