IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0106302	420285967	"Arcade"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	-1	36	Spilled		""	1993	"R"	Megan Ward	Alex Manning	Peter Billingsley	Nick	John DeLancie	Difford	Sharon Farrell	Alex's Mom	Seth Green	Stilts			0	0	
0117509	770747030	"Romeo and Juliet"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	70	Upright		150	1996	"Unrated"	Charles Jade		Lionel Delanoe		Manuel Legris		Monique Loudieres				14500000	46338728	0	1	
0119822	12971	"As Good As It Gets"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	86	87	Upright	Certified Fresh	139	1997	"PG-13"	Jack Nicholson	Melvin Udall	Helen Hunt	Carol Connelly	Greg Kinnear	Simon Bishop	Cuba Gooding Jr.	Frank Sachs	Skeet Ulrich	Vincent	50000000	147637474	2	5	
0160484	15419	"Lost Souls"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	7	22	Spilled	Rotten	102	2000	"R"	Winona Ryder	Maya Larkin	Ben Chaplin	Peter Kelson	Sarah Wynter	Claire Van Owen	Philip Baker Hall	Father James	John Hurt	Father Lareaux	28000000	16779636	0	0	
0017350	371354084	"The Scarlet Letter"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	81	Upright		80	1926	"Unrated"	Lillian Gish	Hester Prynne	Lars Hanson	Arthur Dimmesdale	Henry B. Walthall	Roger Chillingworth	Karl Dane	Giles	William H. Tooker	The Governor	430290		0	0	
0080761	16819	"Friday the 13th"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	59	62	Upright	Rotten	95	1980	"R"	Betsy Palmer	Mrs. Voorhees	Adrienne King	Alice	Harry Crosby	Bill	Laurie Bartram	Brenda	Robbi Morgan	Annie	550000	5816321	0	0	
0116922	16879	"Lost Highway"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	59	88	Upright	Rotten	135	1997	"R"	Bill Pullman	Fred Madison	Patricia Arquette	Alice Wakefield	Balthazar Getty	Pete Dayton	Robert Blake	Mystery Man	Robert Loggia	Mr. Eddy/Dick Laurent	15000000	3796699	0	0	
0096426	259249089	"Waxwork"	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	56	47	Spilled	Rotten	95	1988	"R"	Zach Galligan	Mark	Deborah Foreman	Sarah	David Warner	Mr. Lincoln	Michelle Johnson	China	Dana Ashbrook	Tony			0	0	
0175880	13046	"Magnolia"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	84	90	Upright	Certified Fresh	188	1999	"R"	Jason Robards	Earl Partridge	Julianne Moore	Linda Partridge	Tom Cruise	Frank "T.J." Mackey	Philip Seymour Hoffman	Phil Parma	John C. Reilly	Officer Jim Kurring	37000000	22450975	0	3	
0244000	11391	"American Outlaws"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	69	Upright	Rotten	95	2001	"PG-13"	Colin Farrell	Jesse James	Scott Caan	Cole Younger	Ali Larter	Zee Mimms	Gabriel Macht	Frank James	Gregory Smith	Jim Younger	35000000	13264986	0	0	
0190590	12776	"O Brother, Where Art Thou?"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	77	89	Upright	Certified Fresh	106	2000	"PG-13"	George Clooney	Everett Ulysses McGill	John Turturro	Pete	Tim Blake Nelson	Delmar	Charles Durning	Pappy O'Daniel	John Goodman	Big Dan Teague	26000000	45506619	0	2	
0132512	11460	"At First Sight"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	32	47	Spilled	Rotten	128	1999	"PG-13"	Val Kilmer	Virgil Adamson	Mira Sorvino	Amy Benic	Kelly McGillis	Jennie Adamson	Steven Weber	Duncan Allanbrook	Bruce Davison	Dr. Charles Aaron	60000000	22326247	0	0	
0111280	11936	"Star Trek Generations"	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	47	58	Spilled	Rotten	117	1994	"PG"	Patrick Stewart	Capt. Jean-Luc Picard	William Shatner	James T. Kirk	Malcolm McDowell	Dr. Tolian Soran	Jonathan Frakes	Cmdr. William Riker	Brent Spiner	Lt. Cmdr. Data	35000000	75668868	0	0	
